uid,title,abstract,year,venue,authors,doi,arxiv_id,url,source,query,query_role,family,advisor_seed,citation_count,matched_terms,retrieved_at,relevance_score,hostile_score
doi:10.66967/jaics.2026.v2i103,Multimodal AI: PaLM-E’s Role in Vision–Language–Robotics & the Future of Efficient Fine-Tuning,"The convergence of vision, language, and robotics represents a critical step toward building embodied artificial intelligence systems capable of robust perception, reasoning, and action in real-world environments. This study presents a structured and analytical investigation of PaLM-E, an embodied multimodal language model, examining its role in unifying vision–language reasoning with robotic control across diverse task settings. Rather than proposing a new architecture, the work contributes a systematic synthesis and critical evaluation of PaLM-E’s capabilities, highlighting its zero-shot generalization, long-horizon task planning, and multimodal reasoning through comparative analysis with existing vision–language and robotic frameworks. In parallel, the study analyzes Parameter-Efficient Fine-Tuning (PEFT) strategies—focusing on Low-Rank Adaptation (LoRA) and Quantized Low-Rank Adaptat",2026,Journal of Artificial Intelligence & Control Systems,,10.66967/jaics.2026.v2i103,,https://doi.org/10.66967/jaics.2026.v2i103,crossref,vision language action model limitation robotics,hostile,failure,,,vision language action model; limitation; generalization; deployment; long horizon,2026-06-12T14:45:03Z,17.650,26.650
doi:10.1007/s44267-025-00075-0,MIRSAM: multimodal vision-language segment anything model for infrared small target detection,"Abstract Infrared small target detection (IRSTD) plays a crucial role in applications such as traffic monitoring systems and maritime rescue. However, existing IRSTD methods face challenges due to their reliance on a single type of data, making them susceptible to noise and deficient in contextual understanding. Additionally, small and limited datasets hinder model generalization and performance in complex scenarios. Previous methods are mostly based on U-Net architectures that are optimized for small-scale data and involve intricate design. These designs often perform well in specific scenarios, but they struggle to generalize effectively in real-world applications. Inspired by leading vision-language models, we propose an MIRSAM (Multimodal Vision-Language Segment Anything Model for Infrared Small Target Detection), the first framework to integrate text modality with image modality for",2025,Visual Intelligence,Mingjin Zhang; Qian Xu; Yuchun Wang; Xi Li; Haojuan Yuan,10.1007/s44267-025-00075-0,,https://doi.org/10.1007/s44267-025-00075-0,crossref,vision language action model limitation robotics,hostile,failure,,10,vision language action model; limitation; generalization,2026-06-12T15:07:36Z,18.849,25.849
doi:10.4018/979-8-3373-7315-7.ch009,Vision Language Models in Healthcare Through a Multimodal Approach to Medical Imaging and Clinical Applications,"This chapter explores the emerging role of Vision Language Models (VLMs) in healthcare, focusing on their ability to integrate visual and textual data to improve medical imaging analysis and clinical decision-making. It examines the key components of VLMs, including vision and language models, their fusion techniques, and their applications in tasks like disease detection, report generation, and visual question answering. The chapter also addresses challenges such as data scarcity, privacy concerns, and model interpretability. Additionally, it highlights future directions for enhancing model generalization, improving explainability, and ensuring seamless integration into clinical workflows, while emphasizing the importance of ethical considerations and real-world validation for safe deployment in healthcare environments.",2026,Advances in Computational Intelligence and Robotics Vision Language Models for Next-Generation Healthcare,Kazi Tanvir; Rahul Biswas; Dipta Gomes; Mahfujur Rahman; Noboranjan Dey; Md. Reazul Islam,10.4018/979-8-3373-7315-7.ch009,,https://doi.org/10.4018/979-8-3373-7315-7.ch009,crossref,vision language action model limitation robotics,hostile,failure,,,vision language action model; limitation; generalization; deployment,2026-06-12T14:45:03Z,17.300,25.300
arxiv:2511.05397v1,EveryDayVLA: A Vision-Language-Action Model for Affordable Robotic Manipulation,"While Vision-Language-Action (VLA) models map visual inputs and language instructions directly to robot actions, they often rely on costly hardware and struggle in novel or cluttered scenes. We introduce EverydayVLA, a 6-DOF manipulator that can be assembled for under $300, capable of modest payloads and workspace. A single unified model jointly outputs discrete and continuous actions, and our adaptive-horizon ensemble monitors motion uncertainty to trigger on-the-fly re-planning for safe, reliable operation. On LIBERO, EverydayVLA matches state-of-the-art success rates, and in real-world tests it outperforms prior methods by 49% in-distribution and 34.9% out-of-distribution. By combining a state-of-the-art VLA with cost-effective hardware, EverydayVLA democratizes access to a robotic foundation model and paves the way for economical use in homes and research labs alike. Experiment video",2025,arXiv,Samarth Chopra; Alex McMoil; Ben Carnovale; Evan Sokolson; Rajkumar Kubendran; Samuel Dickerson,,2511.05397v1,http://arxiv.org/abs/2511.05397v1,arxiv,vision language action model limitation robotics,hostile,failure,,,vision language action model; limitation; out of distribution,2026-06-12T14:45:03Z,17.200,25.200
doi:10.3390/s25196163,VLA-MP: A Vision-Language-Action Framework for Multimodal Perception and Physics-Constrained Action Generation in Autonomous Driving,"Autonomous driving in complex real-world environments requires robust perception, reasoning, and physically feasible planning, which remain challenging for current end-to-end approaches. This paper introduces VLA-MP, a unified vision-language-action framework that integrates multimodal Bird’s-Eye View (BEV) perception, vision-language alignment, and a GRU-bicycle dynamics cascade adapter for physics-informed action generation. The system constructs structured environmental representations from RGB images and LiDAR, aligns scene features with natural language instructions through a cross-modal projector and large language model, and converts high-level semantic hidden states outputs into executable and physically consistent trajectories. Experiments on the LMDrive dataset and CARLA simulator demonstrate that VLA-MP achieves high performance across the LangAuto benchmark series, with best ",2025,Sensors,Maoning Ge; Kento Ohtani; Yingjie Niu; Yuxiao Zhang; Kazuya Takeda,10.3390/s25196163,,https://doi.org/10.3390/s25196163,crossref,vision language action model limitation robotics,hostile,failure,,1,vision language action model; limitation; benchmark,2026-06-12T14:45:03Z,17.997,24.997
doi:10.1049/cvi2.12268,OmDet: Large‐scale vision‐language multi‐dataset pre‐training with multimodal detection network,"Abstract The advancement of object detection (OD) in open‐vocabulary and open‐world scenarios is a critical challenge in computer vision. OmDet, a novel language‐aware object detection architecture and an innovative training mechanism that harnesses continual learning and multi‐dataset vision‐language pre‐training is introduced. Leveraging natural language as a universal knowledge representation, OmDet accumulates “visual vocabularies” from diverse datasets, unifying the task as a language‐conditioned detection framework. The multimodal detection network (MDN) overcomes the challenges of multi‐dataset joint training and generalizes to numerous training datasets without manual label taxonomy merging. The authors demonstrate superior performance of OmDet over strong baselines in object detection in the wild, open‐vocabulary detection, and phrase grounding, achieving state‐of‐the‐art result",2024,IET Computer Vision,Tiancheng Zhao; Peng Liu; Kyusong Lee,10.1049/cvi2.12268,,https://doi.org/10.1049/cvi2.12268,crossref,vision language action model limitation robotics,hostile,failure,,9,vision language action model; continual learning; limitation; ablation,2026-06-12T15:07:36Z,18.601,24.601
doi:10.1007/s11370-025-00686-y,"Application of multimodal learning in robotic perception: an intelligent perception framework integrating vision, sound, and touch",,2026,Intelligent Service Robotics,Jiajun He,10.1007/s11370-025-00686-y,,https://doi.org/10.1007/s11370-025-00686-y,crossref,vision language action model limitation robotics,hostile,failure,,,vision language action model; limitation,2026-06-12T15:07:36Z,19.600,24.600
arxiv:2502.14420v2,ChatVLA: Unified Multimodal Understanding and Robot Control with Vision-Language-Action Model,"Humans possess a unified cognitive ability to perceive, comprehend, and interact with the physical world. Why can't large language models replicate this holistic understanding? Through a systematic analysis of existing training paradigms in vision-language-action models (VLA), we identify two key challenges: spurious forgetting, where robot training overwrites crucial visual-text alignments, and task interference, where competing control and understanding tasks degrade performance when trained jointly. To overcome these limitations, we propose ChatVLA, a novel framework featuring Phased Alignment Training, which incrementally integrates multimodal data after initial control mastery, and a Mixture-of-Experts architecture to minimize task interference. ChatVLA demonstrates competitive performance on visual question-answering datasets and significantly surpasses state-of-the-art vision-lang",2025,arXiv,Zhongyi Zhou; Yichen Zhu; Minjie Zhu; Junjie Wen; Ning Liu; Zhiyuan Xu; Weibin Meng; Ran Cheng; Yaxin Peng; Chaomin Shen; Feifei Feng,,2502.14420v2,http://arxiv.org/abs/2502.14420v2,arxiv,vision language action model limitation robotics,hostile,failure,,,vision language action model; robot manipulation; limitation; benchmark,2026-06-12T14:45:03Z,17.850,23.850
doi:10.54254/2755-2721/2025.ast27134,Integrating Motion Planning in Vision Language Action Agents,"Vision-Language-Action (VLA) models integrate visual perception, natural language understanding, and embodied control into a unified framework, enabling end-to-end task execution from multimodal instructions. While such models have demonstrated impressive generalization across tasks and environments, their direct outputs—often in the form of discrete action tokens or waypoint sequences—frequently overlook key physical constraints, such as trajectory feasibility, collision avoidance, and dynamic consistency. This limitation hinders deployment in safety-critical and dynamic real-world settings. Integrating motion planning into VLA systems offers a principled solution, embedding geometric and dynamic constraints into the control pipeline to transform high-level semantic goals into safe, smooth, and executable trajectories. This work examines representative integration strategies alongside t",2025,Applied and Computational Engineering,Jianfeng Pang,10.54254/2755-2721/2025.ast27134,,https://doi.org/10.54254/2755-2721/2025.ast27134,crossref,vision language action model limitation robotics,hostile,failure,,,vision language action model; motion planning; limitation; generalization; deployment,2026-06-12T14:45:03Z,14.650,23.650
doi:10.1016/j.inffus.2025.103575,Object Detection with Multimodal Large Vision-Language Models: An In-depth Review,"The fusion of language and vision in large vision-language models (LVLMs) has revolutionized deep learning-based object detection by enhancing adaptability, contextual reasoning, and generalization beyond traditional architectures. This in-depth review presents a structured exploration of the state-of-the-art in LVLMs, systematically organized through a three-step research review process. First, we discuss the functioning of vision language models (VLMs) for object detection, describing how these models harness natural language processing (NLP) and computer vision (CV) techniques to revolutionize object detection and localization. We then explain the architectural innovations, training paradigms, and output flexibility of recent LVLMs for object detection, highlighting how they achieve advanced contextual understanding for object detection. The review thoroughly examines the approaches u",2025,arXiv,Ranjan Sapkota; Manoj Karkee,10.1016/j.inffus.2025.103575,2508.19294v2,http://arxiv.org/abs/2508.19294v2,arxiv,vision language action model limitation robotics,hostile,failure,,,vision language action model; limitation; generalization,2026-06-12T14:45:03Z,17.500,23.500
