method,split,mean_success,ci95_success,mean_final_error,ci95_final_error,mean_energy,ci95_energy,mean_contact_violation,mean_disagreement,episodes,seeds,stress_level
conformal_risk_filter,stress_0.00,1.0000,0.0000,0.0103,0.0016,0.4051,0.0108,0.0000,0.0114,40,5,0.00
conformal_risk_filter,stress_0.20,1.0000,0.0000,0.0134,0.0024,0.4270,0.0129,0.0000,0.0180,40,5,0.20
conformal_risk_filter,stress_0.40,0.9750,0.0490,0.0228,0.0062,0.4209,0.0139,0.0000,0.0272,40,5,0.40
conformal_risk_filter,stress_0.60,0.7250,0.1401,0.0486,0.0120,0.4247,0.0178,0.0000,0.0368,40,5,0.60
conformal_risk_filter,stress_0.80,0.6500,0.1497,0.0705,0.0179,0.4563,0.0262,0.0000,0.0447,40,5,0.80
conformal_risk_filter,stress_1.00,0.4250,0.1552,0.1230,0.0257,0.4544,0.0353,0.0000,0.0540,40,5,1.00
diagnostic_probe_then_mpc,stress_0.00,1.0000,0.0000,0.0108,0.0018,0.4720,0.0107,0.0000,0.0531,40,5,0.00
diagnostic_probe_then_mpc,stress_0.20,0.9750,0.0490,0.0186,0.0046,0.5102,0.0130,0.0000,0.0526,40,5,0.20
diagnostic_probe_then_mpc,stress_0.40,0.8750,0.1038,0.0321,0.0104,0.5115,0.0110,0.0000,0.0525,40,5,0.40
diagnostic_probe_then_mpc,stress_0.60,0.8500,0.1121,0.0458,0.0143,0.5320,0.0122,0.0000,0.0525,40,5,0.60
diagnostic_probe_then_mpc,stress_0.80,0.7750,0.1311,0.0640,0.0181,0.5635,0.0167,0.0000,0.0565,40,5,0.80
diagnostic_probe_then_mpc,stress_1.00,0.5250,0.1567,0.0907,0.0215,0.6009,0.0251,0.0000,0.0581,40,5,1.00
ensemble_uncertainty_mpc,stress_0.00,1.0000,0.0000,0.0104,0.0016,0.4004,0.0113,0.0000,0.0112,40,5,0.00
ensemble_uncertainty_mpc,stress_0.20,1.0000,0.0000,0.0135,0.0023,0.4300,0.0138,0.0000,0.0181,40,5,0.20
ensemble_uncertainty_mpc,stress_0.40,0.9250,0.0827,0.0248,0.0067,0.4302,0.0145,0.0000,0.0271,40,5,0.40
ensemble_uncertainty_mpc,stress_0.60,0.8250,0.1193,0.0493,0.0151,0.4342,0.0160,0.0000,0.0352,40,5,0.60
ensemble_uncertainty_mpc,stress_0.80,0.6000,0.1538,0.0726,0.0188,0.4698,0.0214,0.0000,0.0433,40,5,0.80
ensemble_uncertainty_mpc,stress_1.00,0.4250,0.1552,0.1037,0.0229,0.4979,0.0294,0.0000,0.0523,40,5,1.00
mean_fusion_mpc,stress_0.00,1.0000,0.0000,0.0111,0.0017,0.4046,0.0118,0.0000,0.0123,40,5,0.00
mean_fusion_mpc,stress_0.20,1.0000,0.0000,0.0147,0.0021,0.4295,0.0141,0.0000,0.0198,40,5,0.20
mean_fusion_mpc,stress_0.40,0.9750,0.0490,0.0249,0.0047,0.4271,0.0115,0.0000,0.0296,40,5,0.40
mean_fusion_mpc,stress_0.60,0.8750,0.1038,0.0390,0.0088,0.4404,0.0136,0.0000,0.0390,40,5,0.60
mean_fusion_mpc,stress_0.80,0.6250,0.1519,0.0645,0.0151,0.4743,0.0249,0.0000,0.0487,40,5,0.80
mean_fusion_mpc,stress_1.00,0.5250,0.1567,0.0854,0.0187,0.5113,0.0302,0.0000,0.0582,40,5,1.00
vt_disagreement_branch_mpc,stress_0.00,1.0000,0.0000,0.0100,0.0016,0.4099,0.0108,0.0000,0.0122,40,5,0.00
vt_disagreement_branch_mpc,stress_0.20,1.0000,0.0000,0.0161,0.0020,0.4409,0.0153,0.0000,0.0211,40,5,0.20
vt_disagreement_branch_mpc,stress_0.40,0.9250,0.0827,0.0285,0.0064,0.4481,0.0162,0.0000,0.0312,40,5,0.40
vt_disagreement_branch_mpc,stress_0.60,0.8000,0.1255,0.0529,0.0136,0.4910,0.0221,0.0000,0.0461,40,5,0.60
vt_disagreement_branch_mpc,stress_0.80,0.5250,0.1567,0.0876,0.0206,0.5248,0.0291,0.0000,0.0565,40,5,0.80
vt_disagreement_branch_mpc,stress_1.00,0.4000,0.1538,0.1091,0.0231,0.5953,0.0436,0.0000,0.0629,40,5,1.00
