split,baseline,paired_episodes,success_delta_mean,success_delta_ci95,final_error_improvement_mean,final_error_improvement_ci95,energy_improvement_mean,energy_improvement_ci95,contact_violation_delta_mean,action_diff_rate,paired_t_approx,normal_approx_p
combined_shift,random_push,192,0.4062,0.0768,0.0623,0.0084,-0.0790,0.0122,0.0000,1.0000,10.3671,0.0000
combined_shift,vision_only_mpc,192,-0.0625,0.0494,-0.0071,0.0044,0.0066,0.0053,0.0000,0.5677,-2.4822,0.0131
combined_shift,tactile_only_mpc,192,0.0417,0.0519,0.0055,0.0046,-0.0103,0.0044,0.0000,0.4010,1.5750,0.1153
combined_shift,mean_fusion_mpc,192,-0.0260,0.0305,-0.0026,0.0022,0.0023,0.0022,0.0000,0.0052,-1.6745,0.0940
combined_shift,ensemble_uncertainty_mpc,192,0.0052,0.0271,0.0019,0.0013,-0.0028,0.0027,0.0000,0.0000,0.3771,0.7061
combined_shift,conformal_risk_filter,192,0.0521,0.0347,0.0066,0.0028,-0.0146,0.0043,0.0000,0.3333,2.9438,0.0032
combined_shift,diagnostic_probe_then_mpc,192,0.0312,0.0478,0.0032,0.0049,0.0888,0.0054,0.0000,1.0000,1.2813,0.2001
combined_shift,robust_minimax_mpc,192,-0.0365,0.0335,-0.0021,0.0024,0.0324,0.0046,0.0000,0.7760,-2.1299,0.0332
combined_shift,particle_belief_mpc,192,-0.0260,0.0268,-0.0010,0.0012,0.0007,0.0023,0.0000,0.0052,-1.9027,0.0571
combined_shift,old_vt_disagreement_branch_mpc,192,0.0521,0.0537,0.0050,0.0046,0.0430,0.0083,0.0000,0.5052,1.9027,0.0571
combined_shift,cvtb_no_probe,192,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
combined_shift,oracle_mode_mpc,192,-0.3125,0.0688,-0.0277,0.0059,0.0435,0.0063,0.0000,0.9740,-8.8963,0.0000
contact_dropout,random_push,192,0.7135,0.0657,0.0839,0.0073,-0.0610,0.0103,0.0000,0.9948,21.2766,0.0000
contact_dropout,vision_only_mpc,192,-0.0885,0.0428,-0.0234,0.0022,0.0349,0.0032,0.0000,0.9479,-4.0538,0.0001
contact_dropout,tactile_only_mpc,192,-0.0104,0.0457,-0.0186,0.0037,0.0342,0.0037,0.0000,0.9844,-0.4463,0.6554
